input_text,output_line1,output_line2
MAIN MOTOR STATOR WINDING TEMP. (B-W),MAIN MOTOR,WIND TEMP BW
MAIN MOTOR STATOR WINDING TEMP. (C-U),MAIN MOTOR,WIND TEMP CU
MAIN MOTOR STATOR WINDING TEMP. (C-V),MAIN MOTOR,WIND TEMP CV
MAIN MOTOR STATOR WINDING TEMP. (C-W),MAIN MOTOR,WIND TEMP CW
COOLING WATER TO LO COOLERS,EMRGY WATER,LO COOLERS
FROM 1-121-CA,FROM,1-121-CB/CA
SYNTHESIS GAS FROM 121-CA TO 1-105-D,FROM,1-121-CB/CA
FROM 1-124-C TO COOLING WATER RETURN HEADER,1-124-C->CW,RETURN HDR
SYNTHESIS GAS FROM 121-CB TO 1-105-D,FROM,1-121-CB/CA
FROM 1-121-CB,FROM,1-121-CB/CA
TURBINE JOURNAL BEARING TEMP. (EXH. SIDE A),TURBINE BEAR,TEMP EXH A
TURBINE JOURNAL BEARING TEMP. (EXH. SIDE B),TURBINE BEAR,TEMP EXH B
TURBINE JOURNAL BEARING TEMP. (GOV. SIDE A),TURBINE BEAR,TEMP GOV A
TURBINE JOURNAL BEARING TEMP. (GOV. SIDE B),TURBINE BEAR,TEMP GOV B
TURBINE THRUST BEARING TEMP. (INSIDE A),TURBINE BEAR,TEMP IN A
TURBINE THRUST BEARING TEMP. (INSIDE B),TURBINE BEAR,TEMP IN B
TURBINE THRUST BEARING TEMP. (OUTSIDE A),TURBINE BEAR,TEMP OUT A
TURBINE THRUST BEARING TEMP. (OUTTIVE SIDE B),TURBINE BEAR,TEMP OUT B
COOLING WATER RETURN FROM 1-128-C TO HEADER,1-128-C->,HEADER
GAS AMMONIA FROM 1-128-C,GAS NH3 FROM,1-128-C
COMP.  1-105-J 3RD STG. DISCHARGE TEMP.,1-105-J 3ST,DISCH TEMP
AQA. AMMONIA FROM 1-161-C TO 1-125-D,NH3 1-161-C,->1-125-D
CWR FROM 1-162-C TO HEADER,CWR 1-162-C,->HEADER
1-105-JTC COOLING WATER RETURN,1-105-JTC CW,RETURN
VACUUM EXHAUST FROM 1-105-JTC TO 1-105-JCC,VAC 1-105-JT,->1-105-JCC
1-105-JCC INTER/AFTER CONDENSER CWR,1-105-JCC CW,CONDENSER
AMMONIA TO DRAIN,DRAIN NH3,SYSTEM
WARM AMMONIA PRODUCT TO OSBL,NH3 WARM->,OSBL
COLD AMMONIA TO OSBL,LIQ NH3->,BL
INTER/ AFTER CONDENSER 1-105-JCC,1-105-JCC CW,CONDENSER
MP STEAM OUTLET OF 1-123-C1,MP STM 123-C,->HEADER
AMMONIA CONV. EFFLUENT / STEAM SUPERHEATER,NH3 CONVERTR,1-123-C1
STEAM TURBINE CONDENSATE TO DEAERATOR & BFW,STEAM->DEMI,WATER UNIT
STEAM CONDENSATE FROM 1-118-J/JA,MP STEAM->,HDR
EMERGENCY COOLING WATER TO LO COOLERS,EMRGY WATER,LO COOLERS
STEAM TURBINE FOR 1-105-J,MP STEAM,->1-105-JT
NATURAL GAS FROM BATTERY LIMIT,NATURAL GAS,FROM B.L.
OIL COOLER OUTLET TEMP. CONTROL VALVE POSITION FEEDBACK,OIL COOL,VLV POS FB
RADIAL VIBRATION COMMON HIGH,RADIAL VIBR,COMMON H
RADIAL VIBRATION COMMON HIGH HIGH,RADIAL VIBR,COMMON HH
LP COMP. RADIAL VIBRATION (NDE X),LP COMP VIBR,RAD NDE X
LP COMP. RADIAL VIBRATION (NDE Y),LP COMP VIBR,RAD NDE Y
LP COMP. RADIAL VIBRATION (DE X),LP COMP VIBR,RAD DE X
LP COMP. RADIAL VIBRATION (DE Y),LP COMP VIBR,RAD DE Y
HP COMP. RADIAL VIBRATION (NDE X),HP COMP VIBR,RAD NDE X
HP COMP. RADIAL VIBRATION (NDE Y),HP COMP VIBR,RAD NDE Y
HP COMP. RADIAL VIBRATION (DE X),HP COMP VIBR,RAD DE X
HP COMP. RADIAL VIBRATION (DE Y),HP COMP VIBR,RAD DE Y
LP GEAR RADIAL VIBRATION (LSS/FREE END X),LP GEAR VIBR,LSS END X
LP GEAR RADIAL VIBRATION (LSS/FREE END Y),LP GEAR VIBR,LSS END Y
LP GEAR RADIAL VIBRATION (LSS/COUPLING END X),LP GEAR VIBR,LSS END X
LP GEAR RADIAL VIBRATION (LSS/COUPLING END Y),LP GEAR VIBR,LSS END Y
LP GEAR RADIAL VIBRATION (HSS/COUPLING END X),LP GEAR VIBR,HSS END X
LP GEAR RADIAL VIBRATION (HSS/COUPLING END Y),LP GEAR VIBR,HSS END Y
LP GEAR RADIAL VIBRATION (HSS/FREE END X),LP GEAR VIBR,HSS END X
LP GEAR RADIAL VIBRATION (HSS/FREE END Y),LP GEAR VIBR,HSS END Y
HP GEAR RADIAL VIBRATION (LSS/FREE END X),HP GEAR VIBR,LSS END X
HP GEAR RADIAL VIBRATION (LSS/FREE END Y),HP GEAR VIBR,LSS END Y
HP GEAR RADIAL VIBRATION (LSS/COUPLING END X),HP GEAR VIBR,LSS END X
HP GEAR RADIAL VIBRATION (LSS/COUPLING END Y),HP GEAR VIBR,LSS END Y
HP GEAR RADIAL VIBRATION (HSS/COUPLING END X),HP GEAR VIBR,HSS END X
HP GEAR RADIAL VIBRATION (HSS/COUPLING END Y),HP GEAR VIBR,HSS END Y
HP GEAR RADIAL VIBRATION (HSS/FREE END X),HP GEAR VIBR,HSS END X
HP GEAR RADIAL VIBRATION (HSS/FREE END Y),HP GEAR VIBR,HSS END Y
MAIN MOTOR RADIAL VIBRATION (LP SIDE X),MAIN MOTOR,RAD VIB LP X
MAIN MOTOR RADIAL VIBRATION (LP SIDE Y),MAIN MOTOR,RAD VIB LP Y
MAIN MOTOR RADIAL VIBRATION (HP SIDE X),MAIN MOTOR,RAD VIB HP X
MAIN MOTOR RADIAL VIBRATION (HP SIDE Y),MAIN MOTOR,RAD VIB HP Y
TURBINE RADIAL VIBRATION (EXH. SIDE X),TURBINE VBR,RAD EXH X
TURBINE RADIAL VIBRATION (EXH. SIDE Y),TURBINE VBR,RAD EXH Y
TURBINE RADIAL VIBRATION (GOV. SIDE X),TURBINE VBR,RAD GOV X
TURBINE RADIAL VIBRATION (GOV. SIDE Y),TURBINE VBR,RAD GOV Y
ESD COMMON TRIP,ESD COMM,TRIP
MMS RACK-1 COMMON ALARM,MMS RACK 1,COMMON ALARM
MMS RACK-2 COMMON ALARM,MMS RACK 2,COMMON ALARM
UCP 24VDC POWER SUPPLY FAILURE ALARM,UCP POWER,FAIL ALARM
UCP CABINET INTERNAL TEMP. ALARM,UCP TEMP,ALARM
COMMON TRIP LAMP,COMMON,TRIP LAMP
COMMON ALARM LAMP,COMM ALARM,LAMP
AUDIBLE ALARM,AUDIBLE,ALARM
LP COMP. GAS HEATER COMMON ALARM,LP COMP HTR,COM ALARM
COMMON TRIP,COMMON,TRIP
VFD TRIPPED STATUS,VFD,TRIP
VFD COMMON ALARM,VFD COMMON,ALARM
VFD READY STATUS,VFD,READY
MAIN MOTOR RUNNING,MAIN MOTOR,RUNNING
REMOTE SPEED CONTROL ENABLE,REMOTE SPEED,CONTR ENABLE
OSTM COMMON ALARM,OSTM,COMMON ALARM
HP COMP. GAS HEATER COMMON ALARM,HP COMP HTR,COMM ALARM
HORN AMMONIA,HORN,AMMONIA
STEAM DRUM  1-141-D TRIP,1-141-D STM,DRUM TRIP
CONDENSATE PUMPS 1-118-J/JA TRIP,1-118-J/JA,TRIP
AMMONIA REFLUX PUMP 1-130-J,1-130-J,REFLUX PUMP
AMMONIA REFLUX PUMP 1-130-JA,1-130-JA,REFLUX PUMP
AMMONIA DISTILLATION FEED PUMP 1-160-J,1-160-J,DIST COL PMP
AMMONIA DISTILLATION FEED PUMP 1-160-JA,1-160-A,DIST COL PMP
START PERMISSIVE LAMP,START PERM,LAMP
"OK TO OPEN MAIN
FUEL GAS",OK->OPEN,MAINFUEL GAS
"SHP
OK TO OPEN PILOT
FUEL GAS",OPEN PILOT,FUEL GAS
CHECKING,START BURNER,CHECKING
CHECKING FAILED,START BURNER,CHECKING
PURGING,START BURNER,CHECKING
PURGEING COMPLETE,START BURNER,CHECKING
LP LAMP MAIN BURNER 1,MAIN,BURNER 1
DCS LAMP MAIN BURNER 1,MAIN,BURNER 1
LP LAMP MAIN BURNER 2,MAIN,BURNER 2
DCS LAMP MAIN BURNER 2,MAIN,BURNER 2
LP LAMP MAIN BURNER 3,MAIN,BURNER 3
DCS LAMP MAIN BURNER 3,MAIN,BURNER 3
LP LAMP MAIN BURNER 4,MAIN,BURNER 4
DCS LAMP MAIN BURNER 4,MAIN,BURNER 4
LP LAMP MAIN BURNER 5,MAIN,BURNER 5
DCS LAMP MAIN BURNER 5,MAIN,BURNER 5
LP LAMP MAIN BURNER 6,MAIN,BURNER 6
DCS LAMP MAIN BURNER 6,MAIN,BURNER 6
LP LAMP MAIN BURNER 7,MAIN,BURNER 7
DCS LAMP MAIN BURNER 7,MAIN,BURNER 7
LP LAMP MAIN BURNER 8,MAIN,BURNER 8
DCS LAMP MAIN BURNER 8,MAIN,BURNER 8
LP LAMP MAIN BURNER 9,MAIN,BURNER 9
DCS LAMP MAIN BURNER 9,MAIN,BURNER 9
LP LAMP MAIN BURNER 10,MAIN,BURNER 10
DCS LAMP MAIN BURNER 10,MAIN,BURNER 10
LP LAMP PILOT BURNER 1,PILOT,BURNER 1
DCS LAMP PILOT BURNER 1,PILOT,BURNER 1
LP LAMP PILOT BURNER 2,PILOT,BURNER 2
DCS LAMP PILOT BURNER 2,PILOT,BURNER 2
LP LAMP PILOT BURNER 3,PILOT,BURNER 3
DCS LAMP PILOT BURNER 3,PILOT,BURNER 3
LP LAMP PILOT BURNER 4,PILOT,BURNER 4
DCS LAMP PILOT BURNER 4,PILOT,BURNER 4
LP LAMP PILOT BURNER 5,PILOT,BURNER 5
DCS LAMP PILOT BURNER 5,PILOT,BURNER 5
LP LAMP PILOT BURNER 6,PILOT,BURNER 6
DCS LAMP PILOT BURNER 6,PILOT,BURNER 6
LP LAMP PILOT BURNER 7,PILOT,BURNER 7
DCS LAMP PILOT BURNER 7,PILOT,BURNER 7
LP LAMP PILOT BURNER 8,PILOT,BURNER 8
DCS LAMP PILOT BURNER 8,PILOT,BURNER 8
LP LAMP PILOT BURNER 9,PILOT,BURNER 9
DCS LAMP PILOT BURNER 9,PILOT,BURNER 9
LP LAMP PILOT BURNER 10,PILOT,BURNER 10
DCS LAMP PILOT BURNER 10,PILOT,BURNER 10
MAIN OIL PUMP MOTOR RUNNING,MAIN OIL PMP,RUNNING
MAIN OIL PUMP MOTOR LOCL/REMOTE,MAIN OIL PMP,LOC/REMOTE
MAIN OIL PUMP MOTOR AVAILABLE,MAIN OIL PMP,AVAILABLE
STAMD BY OIL PUMP A MOTOR RUNNING,SBY OIL PMPA,RUNNING
STAND BY OIL PUMP A MOTOR LOCL/REMOTE,SBY OIL PMPA,LOC/REMOTE
STAND BY OIL PUMP A MOTOR AVAILABLE,SBY OIL PMPA,AVAILABLE
STAMD BY OIL PUMP B MOTOR RUNNING,SBY OIL PMPB,RUNNING
STAND BY OIL PUMP B MOTOR LOCL/REMOTE,SBY OIL PMPB,LOC/REMOTE
STAND BY OIL PUMP B MOTOR AVAILABLE,SBY OIL PMPB,AVAILABLE
ELECTRICAL OIL HEATER A ON STATUS,ELE OIL HTR,ON STATUS
ELECTRICAL OIL HEATER A LOCAL/REMOTE,ELE OIL HTR,LOCAL/REM
ELECTRICAL OIL HEATER A AVAILABLE,ELE OIL HTR,AVAILABLE
ELECTRICAL OIL HEATER B ON STATUS,ELE OIL HTR,ON STATUS
ELECTRICAL OIL HEATER B LOCAL/REMOTE,ELE OIL HTR,LOCAL/REM
ELECTRICAL OIL HEATER B AVAILABLE,ELE OIL HTR,AVAILABLE
MAIN MOTOR PURGE COMPLETE,MAIN MOTOR,PURGE COMPLT
ESD START PERMISSIVE,ESD,STRT PERM
MOS ENABLE / REMOVAL,MOS,ENABL/REMOV
MIST ELIMINATOR A MOTOR RUNNING,MIST MOTOR A,RUNNING
MIST ELIMINATOR A MOTOR LOCL/REMOTE,MIST MOTOR A,LOC/REMOTE
MIST ELIMINATOR A MOTOR AVAILABLE,MIST MOTOR A,AVAILABLE
MIST ELIMINATOR B MOTOR RUNNING,MIST MOTOR B,RUNNING
MIST ELIMINATOR B MOTOR LOCL/REMOTE,MIST MOTOR B,LOC/REMOTE
MIST ELIMINATOR B MOTOR AVAILABLE,MIST MOTOR B,AVAILABLE
LP COMP. GAS HEATER SWITCH ENABLE,LP COMP HTR,SWI ENABLE
LP COMP. GAS HEATER RUN STATUS,LP COMP HTR,RUN STATUS
LP COMP. GAS HEATER START PERMISSIVE,LP COMP HTR,START PERM
TRIP MULTIPLY,TRIP,MULTIPLY
MAIN MOTOR START COMMAND (VFD START),MAIN MOTOR,START COMM
MAIN MOTOR NORMAL STOP COMMAND,MAIN MOTOR,STOP COMMAND
MAIN MOTOR TRIP COMMAND,MAIN MOTOR,TRIP COMMAND
VFD COOLING UNIT START COMMAND,VFD COOLING,START COMAND
VFD COOLING UNIT STOP COMMAND,VFD COOLING,STOP COMMAND
HP COMP. GAS HEATER SWITCH ENABLE,HP COMP HTR,SWITCH ENABL
HP COMP. GAS HEATER RUN STATUS,HP COMP HTR,R STATUS
VFD COOLING UNIT PUMP MOTOR RUNNING STATUS,VFD COOLING,RUNNING
VFD COOLING UNIT PUMP MOTOR LOCAL/REMOTE STATUS,VFD COOLING,LOC/REMOTE
MAIN OIL PUMP MOTOR START COMMAND,MAIN OIL PMP,START COMAND
MAIN OIL PUMP MOTOR STOP COMMAND,MAIN OIL PMP,STOP COMMAND
STAND BY OIL PUMP A MOTOR START COMMAND,SBY OIL PMPA,START COMAND
STAND BY OIL PUMP A MOTOR STOP COMMAND,SBY OIL PMPA,STOP COMMAND
STAND BY OIL PUMP B MOTOR START COMMAND,SBY OIL PMPB,START COMAND
STAND BY OIL PUMP B MOTOR STOP COMMAND,SBY OIL PMPB,STOP COMMAND
ELECTRIC OIL HEATER A ON COMMAND,ELE OIL HTR,ON CMD
ELECTRIC OIL HEATER A OFF COMMAND,ELE OIL HTR,OFF CMD
ELECTRIC OIL HEATER B ON COMMAND,ELE OIL HTR,ON CMD
ELECTRIC OIL HEATER B OFF COMMAND,ELE OIL HTR,OFF CMD
MIST ELIMINATOR A MOTOR START COMMAND,MIST MOTOR A,START COMAND
MIST ELIMINATOR A MOTOR STOP COMMAND,MIST MOTOR A,STOP COMMAND
MIST ELIMINATOR B MOTOR START COMMAND,MIST MOTOR B,START COMAND
MIST ELIMINATOR B MOTOR STOP COMMAND,MIST MOTOR B,STOP COMMAND
Equipment Common Shutdown 1-103-J,1-103-J,SHUTDOWN
FAIL OVERRIDE,FAIL,OVERRIDE
OSTM RESET,OSTM,RESET
HP COMP. GAS HEATER START PERMISSIVE,HP COMP HTR,START PERM
Equipment Common Shutdown 1-105-J,1-105-J,SHUTDOWN
Process Trip 1-105-J,PROCESS TRIP,1-105-J
Heat Tracing Drain pot,HEAT,TRACING
Power Fail MC DCS 004,POWER FAIL,MC DCS 004
Power Fail MC ESD 012,POWER FAIL,MC ESD 012
Power Fail MC ESD 013,POWER FAIL,MC ESD 013
Temp Alarm MC DCS 001,TEMP ALARM,MC DCS 001
Temp Alarm MC DCS 002,TEMP ALARM,MC DCS 002
Temp Alarm MC DCS 003,TEMP ALARM,MC DCS 003
Temp Alarm MC DCS 004,TEMP ALARM,MC DCS 004
Temp Alarm MC ESD 011,TEMP ALARM,MC ESD 011
Temp Alarm MC ESD 012,TEMP ALARM,MC ESD 012
Temp Alarm MC ESD 013,TEMP ALARM,MC ESD 013
Temp Alarm SC DCS 001,TEMP ALARM,SC DCS 001
Temp Alarm SC ESD 001,TEMP ALARM,SC ESD 001
HYDROGEN TO 1-150-D,H2 FROM,BL
1-103-J SYNTHESIS GAS COMP. 2ND STAGE SUCTION,SYN GAS->,103J 2ND STG
WARM AMMONIA TO B.L,FUEL GAS,FOR PILOTS
COLD AMMONIA TO B.L,LIQ NH3->,BL
EXTRACTION CHECK VALVE (THROTTLE TYPE),EXTRACTION,CHECK VALVE
NITROGEN TO BURNER 1-102B,N2->1-102-B,PILOT
NITROGEN BLEED VALVE FOR 1-XV-31300AB,N2->1-102-B,PILOT
NATURAL GAS TO BURNER 1-102B,FUEL GAS->,START UP HTR
NATURAL GAS BLEED VALVE FOR 1-XV-31301AB,FUEL GAS->,START UP HTR
NITROGEN BLEED VALVE FOR 1-XV-31302AB,N2->1-102-B,FUEL HTR
NATURAL GAS BLEED VALVE FOR 1-XV-31303AB,FUEL GAS->,START UP HTR
Fuel gas to Main Burner 1-102B,FURNACE,MAIN BRN
NITROGEN TO 1-102-B FUEL HEATER,N2->1-102-B,FUEL HTR
LP COMP. SEAL GAS BOOSTER PUMP A INLET VALVE OPEN,LP COMP BOOS,IN VLV OPEN
LP COMP. SEAL GAS BOOSTER PUMP B INLET VALVE OPEN,LP COMP BOOS,IN VLV OPEN
HP COMP. SEAL GAS BOOSTER PUMP A INLET VALVE OPEN,HP COMP BOOS,IN VLV OPEN
HP COMP. SEAL GAS BOOSTER PUMP B INLET VALVE OPEN,HP COMP BOOS,IN VLV OPEN
TV OPEN DETECTION,TV OPEN,DETECTION
LP COMP. SEAL GAS BOOSTER PUMP A INLET VALVE CLOSE,LP COMP BOOS,IN VLV CLOSE
LP COMP. SEAL GAS BOOSTER PUMP B INLET VALVE CLOSE,LP COMP BOOS,IN VLV CLOSE
HP COMP. SEAL GAS BOOSTER PUMP A INLET VALVE CLOSE,HP COMP BOOS,IN VLV CLOSE
HP COMP. SEAL GAS BOOSTER PUMP B INLET VALVE CLOSE,HP COMP BOOS,IN VLV CLOSE
MANUAL BLOCK VALVE FOR TURBINE TRIP SOV-A CLOSE,MAN VLV,SOV A TRIP
MANUAL BLOCK VALVE FOR TURBINE TRIP SOV-B CLOSE,MAN VLV,SOV B TRIP
TV CLOSE DETECTION,TV CLOSE,DETECTION
GV ACTUATOR SHUTDOWN ALARM,GV ACTUATOR,SHUTD ALARM
AXIAL POSITION COMMON HIGH,AXIAL POS,HIGH
AXIAL POSITION COMMON HIGH HIGH,AXIAL POS,HIGH HIGH
LP COMP. AXIAL POSITION (A),LP COMP AXAL,POSITION A
LP COMP. AXIAL POSITION (B),LP COMP AXAL,POSITION B
HP COMP. AXIAL POSITION (A),HP COMP,AXIAL POS
HP COMP. AXIAL POSITION (B),HP COMP,AXIAL POS
LP GEAR AXIAL POSITION (A),LP GEAR AXAL,POSITION A
LP GEAR AXIAL POSITION (B),LP GEAR,POSITION B
HP GEAR AXIAL POSITION (A),HP GEAR,AXIAL POS A
HP GEAR AXIAL POSITION (B),HP GEAR,AXIAL POS B
HP COMP. AXIAL POSTION (A),HP COMP,AXIAL POS
HP COMP. AXIAL POSTION (B),HP COMP,AXIAL POS
TURBINE AXIAL POSITION (A),TURBINE AXAL,POSITION A
TURBINE AXIAL POSITION (B),TURBINE AXAL,POSITION B
SERVICE WATER FROM DISTRIBUTION,SERVICE WTR,DISTRIBUTION
Steam Drum Water Conductivity,STEAM DRUM,CONDUCTIVITY
MP Steam Acid Conductivity,MP STEM ACID,CONDUCTIVITY
Flue Gas from 3-82-PU-001 CEMS,FLUE GAS,FROM CEMS
Combustion Air O2 Analyzer,COMN AIR,O2 ANALYZ
Dryer outlet dewpoint,DRYER OUT,DEWPOINT
COOLING WATER DISTRIBUTION,COOL WATER,DISTRIBUTION
COOLING WATER RETURN HEADER,COOL WATER,RETURN HDR
TO DEMIN WATER TANK 3-90-TK-002,3-90-TK-002,DEMI WTR TNK
3-90-V-101A INLET PH,3-90-V-101A,INLET PH
3-90-V-101A/B OUTLET PH,3-90-V-101AB,OUTLET PH
3-90-V-101C/D OUTLET PH,3-90-V-101CD,OUTLET PH
3-90-V-102A OUTLET CONDUCTIVITY,3-90-V-102A,OUT CNDUCTY
3-90-V-102B OUTLET CONDUCTIVITY,3-90-V-102B,OUT CNDUCTY
3-90-V-102C OUTLET CONDUCTIVITY,3-90-V-102C,OUT CNDUCTY
3-90-V-102D OUTLET CONDUCTIVITY,3-90-V-102D,OUT CNDUCTY
3-90-V-103A/B OUTLET SIO2,3-90-V-103AB,SIO2 OUT
3-90-V-103C/D OUTLET SIO2,3-90-V-103CD,SIO2 OUT
3-90-V-103C/D OUTLET PH,3-90-V-103CD,OUTLET PH
H2S04 DILUTED CONDUCTIVITY,H2SO4 DIL,CONDUCTIVITY
3-90-P-104A/B OUTLET PH,3-90-P-104AB,OUTLET PH
DEMIN WATER TO UTILITIES DEAERATOR,DEMI WATER->,DEAERETOR
TREATED EFFLUENT TO EFFLUENT BASIN,TREAT EFFL->,BASIN
POTABLE WATE TO RIVER WATER INTAKE BASIN,POUR WATER->,BASIN
FROM RAW WATER RECEIVER TANK 3-93-TK-001,RAW WTER TNK,3-93-TK-001
To Ammonia Flare K.O. Drum,TO NH3 KO,DRUM
BACK END FLARE (3-971-L),BACK END,FLARE
SUCTION LINE OF BFW PUMPS 3-82-P-001 A/B,SERVICE WTR,DISTRIBUTION
COOLING TOWER BLOWDOWN,COOL WATER,DISTRIBUTION
3-90-V-101A OUTLET CONDUCTIVITY,3-90-V-101A,OUT CNDUCTY
3-90-V-101B OUTLET CONDUCTIVITY,3-90-V-101B,OUT CNDUCTY
3-90-V-101C OUTLET CONDUCTIVITY,3-90-V-101C,OUT CNDUCTY
3-90-V-101D OUTLET CONDUCTIVITY,3-90-V-101D,COND.OUT
3-90-V-101C/DOUTLET PH,3-90-V-101CD,OUTLET PH
3-90-V-103A OUTLET CONDUCTIVITY,3-90-V-103A,OUT CNDUCTY
3-90-V-103B OUTLET CONDUCTIVITY,3-90-V-103B,OUT CNDUCTY
3-90-V-103C OUTLET CONDUCTIVITY,3-90-V-103C,OUT CNDUCTY
3-90-V-103D OUTLET CONDUCTIVITY,3-90-V-103D,OUT CNDUCTY
NAOH DILUTED CONDUCTIVITY,NaOH DIL,CONDUCTIVITY
NEUTRALISED WATER DISCHARGE LINE,TREAT EFFL->,BASIN
Steam Drum Water pH,STEAM DRUM,PH
Boiler Feed Water Acid Conductivity,BOILR WATER,CONDUCT
Boiler Feed Water pH,BOILR WATER,PH
3-82-K-101 FGR FAN,3-82-K-101,FGR FAN
CONTINUOUS BOILER BLOWDOWN FROM 3-82-PU-001,STEAM DRUM,CONDUCTIVITY
Flue Gas from 3-82-PU-001 CEMS (NOX),FLUE GAS,FROM CEMS
Flue Gas from 3-82-PU-001 CEMS (O2),FLUE GAS,FROM CEMS
Flue Gas from 3-82-PU-001 CEMS (CO),FLUE GAS,FROM CEMS
ANALYZER STACK,ANALYZER,STACK
POLISHED WATER (DISCHARGE OF 3-90-P-001A/B),DEMI WATER->,DEAERETOR
3-82-K-101 FGR FAN DAMPER,3-82-K-101,FGR FAN
3-90-P-105A ACTUATOR COMMAND,3-90-P-105A,ACT CMD
3-90-P-105B ACTUATOR COMMAND,3-90-P-105B,ACT CMD
3-90-P-106A ACTUATOR COMMAND,3-90-P-106A,ACT CMD
3-90-P-106B ACTUATOR COMMAND,3-90-P-106B,ACT CMD
BEACON SIGNAL IN AMMONIA COOLING TOWER,BLC IN NH3,COOL TOWER
SOUNDER SIGNAL IN AMMONIA COOLING TOWER,BLC IN NH3,COOL TOWER
"BEACON SIGNAL IN AUX. BOILER, BFW PUMP, DEAREAT. PKG",BLC IN AUX,BOL BFW PMP
"SOUNDER SIGNAL IN AUX BOILER, BFW PUMP, DEAREAT. PKG",BLC IN AUX,BOL BFW PMP
"BEACON SIGNAL IN AUX BOILER, BFW PUMPS, DEAREAT PKG",BLC IN AUX,BOL BFW PMP
"SOUNDER SIGNAL IN AUX BOILER, BFW PUMPS, DEAREAT.PKG",BLC IN AUX,BOL BFW PMP
BEACON SIGNAL IN PLANT & INSTR. AIR,BLC IN,& INSTR AIR
SOUNDER SIGNAL IN PLANT & INSTR. AIR,BLC IN,& INSTR AIR
BEACON SIGNAL IN DEMIN. POTABLE WATER & CHEM.,BLC IN DEMI,WATER & CHEM
SOUNDER SIGNAL IN DEMIN. POTABLE WATER & CHEM.,BLC IN DEMI,WATER & CHEM
BEACON SIGNAL IN FLARE (INCLUDING KOD),BLC IN FLARE,KOD
SOUNDER SIGNAL IN FLARE (INCLUDING KOD),BLC IN FLARE,KOD
BEACON SIGNAL IN RAW WATER (EXCLUDING RAW WATER PKG),BLC IN,RAW WATER
SOUNDER SIGNAL IN RAW WATER (EXCL. RAW WATER PKG),BLC IN,RAW WATER
BEACON SIGNAL IN NAT. GAS L.D. STAT.&GAS PIPELINE,BLC NAT GAS,& PIPELINE
SOUNDER SIGNAL IN NAT. GAS L.D. STAT.&GAS PIPELINE,BLC NAT GAS,& PIPELINE
GENERATOR EXCITATION VOLTAGE FROM GEP,GENERATOR,VOLT GEP
AVERAGE LINE VOLTAGE (high),AVERAGE LINE,VOLTAGE
VOLTAGE VAN (high),VOLTAGE,VAN H
VOLTAGE VBN (high),VOLTAGE,VBN H
VOLTAGE VCN (high),VOLTAGE,VCN H
AVERAGE PHASE VOLTAGE  (high),VOLTAGE,AVERG PHASE
VOLTAGE VAB (high),VOLTAGE,VAB H
VOLTAGE VBC (high),VOLTAGE,VBC H
VOLTAGE VCA (high),VOLTAGE,VCA H
GENERATOR EXCITATION VOLTAGE FROM GEP SIGNAL FAILURE,GEN VOLT GEP,FAILURE
STEAM CONDENSATE TO DE-AERATOR 3-82-DE-001,STM COND->,3-82-DE-001
TO INSTRUMENT AIR HEADER,TO INSTR AIR,HEADER
MAKE-UP WATER,MAKE-UP,WATER
DISCHARGE HEADER FROM 3-88-P-001A/B/C,3-88P-001ABC,DISCH HEADER
3-90-V-101A INLET CONTROL VALVE,3-90-V-101A,INLET FLOW
3-90-V-101B INLET CONTROL VALVE,3-90-V-101B,INLET FLOW
3-90-V-101C INLET CONTROL VALVE,3-90-V-101C,INLET FLOW
3-90-V-101D INLET CONTROL VALVE,3-90-V-101D,INLET FLOW
3-90-V-102A INLET CONTROL VALVE,3-90-V-102A,INLET FLOW
3-90-V-102B INLET CONTROL VALVE,3-90-V-102B,INLET FLOW
3-90-V-102C INLET CONTROL VALVE,3-90-V-102C,INLET FLOW
3-90-V-102D INLET CONTROL VALVE,3-90-V-102D,INLET FLOW
DEMI WATER FOR H2SO4 DILUTION CONTROL VALVE,DEMI WATR,H2SO4 DL FLW
DEMI WATER FOR NAOH DILUTION FLOW,DEMI FOR NAO,NAOH DIL FLW
3-90-P-105A/B OUTLET,3-90-P-105AB,OUTLET
3-90-P-106A/B OUTLET,3-90-P-106AB,OUTLET
DEMIN WATER FROM DEMI UNIT PACKAGE,DEMI WATER,DEMI PKG
SAFETY SHOWER AT CHEMICAL DOSING SKIDS,SFTY SHOWER,CHEM DOSING
"SAFETY SHOWER AT AUXILLIARY BOILER, BFW PUMPS",SFTY SHOWER,AUX BFW DEAR
SAFETY SHOWER AT DEMIN/POTABLE WATER,SFTY SHOWER,DEMI & PTBLE
SAFETY SHOWER AT WATER INTAKE AREA,SHWR AT INTA,KE 4 SAFETY
SAFETY SHOWER AT DEMIN & POTABLE WATER AREA,SFTY SHOWER,DEMI & PTBLE
SAFETY SHOWER AT COOLING TOWER AREA,SFTY SHOWER,COOL TOWER
SAFETY SHOWER AT PLANT - INSTR. AIR AREA,SFTY SHOWER,INSTR AIR
SAFETY SHOWER AT RAW WATER AREA (331),SFTY SHOWER,RAW WATER
NITROGEN FROM DISTRIBUTION,N2 FROM,DISTRIBUTION
To Surface Condenser Hot well,TO SURF COND,HOT WELL
3-90-V-103A inlet flow,3-90-V-103A,INLET FLOW
3-90-V-103B inlet flow,3-90-V-103B,INLET FLOW
